telegram_type_id,name,is_fetched
0x04,UBAFactory,fetched
0x06,RCTime, 
0x0A,EasyMonitor,fetched
0x10,UBAErrorMessage1, 
0x11,UBAErrorMessage2, 
0x12,RCErrorMessage, 
0x13,RCErrorMessage2, 
0x14,UBATotalUptime,fetched
0x15,UBAMaintenanceData, 
0x16,UBAParameters,fetched
0x18,UBAMonitorFast, 
0x19,UBAMonitorSlow, 
0x1A,UBASetPoints, 
0x1C,UBAMaintenanceStatus, 
0x1E,HydrTemp, 
0x23,JunkersSetMixer,fetched
0x26,UBASettingsWW,fetched
0x28,WeatherComp,fetched
0x2A,MC110Status, 
0x2E,Meters, 
0x33,UBAParameterWW,fetched
0x34,UBAMonitorWW, 
0x35,UBAFlags, 
0x37,WWSettings,fetched
0x38,WWTimer,fetched
0x39,WWCircTimer,fetched
0x3A,RC30WWSettings,fetched
0x3B,Energy, 
0x3D,RC35Set, 
0x3E,RC35Monitor, 
0x3F,RC35Timer, 
0x40,RC30Temp, 
0x41,RC30Monitor, 
0x42,RC35Timer2, 
0x47,RC35Set, 
0x48,RC35Monitor, 
0x49,RC35Timer, 
0x4C,RC35Timer2, 
0x51,RC35Set, 
0x52,RC35Monitor, 
0x53,RC35Timer, 
0x56,RC35Timer2, 
0x5B,RC35Set, 
0x5C,RC35Monitor, 
0x5D,RC35Timer, 
0x60,RC35Timer2, 
0x96,SM10Config,fetched
0x97,SM10Monitor, 
0x9C,WM10MonitorMessage, 
0x9D,WM10SetMessage, 
0xA2,RCError, 
0xA3,RCOutdoorTemp, 
0xA5,IBASettings,fetched
0xA7,RC30Set, 
0xA9,RC30Vacation,fetched
0xAA,MMConfigMessage,fetched
0xAB,MMStatusMessage, 
0xAC,MMSetMessage, 
0xAF,RC20Remote, 
0xB0,RC10Set, 
0xB1,RC10Monitor, 
0xBB,HybridSettings,fetched
0xBF,ErrorMessage, 
0xC0,RCErrorMessage, 
0xC2,UBAErrorMessage3, 
0xC6,UBAErrorMessage3, 
0xD1,UBAOutdoorTemp, 
0xE3,UBAMonitorSlowPlus2, 
0xE4,UBAMonitorFastPlus, 
0xE5,UBAMonitorSlowPlus, 
0xE6,UBAParametersPlus,fetched
0xE9,UBAMonitorWWPlus, 
0xEA,UBAParameterWWPlus,fetched
0x0101,ISM1Set,fetched
0x0103,ISM1StatusMessage,fetched
0x0104,ISM2StatusMessage, 
0x010C,IPMStatusMessage, 
0x011E,IPMTempMessage, 
0x012E,HPEnergy1, 
0x013B,HPEnergy2, 
0x0165,JunkersSet, 
0x0166,JunkersSet, 
0x0167,JunkersSet, 
0x0168,JunkersSet, 
0x016E,Absent,fetched
0x016F,JunkersMonitor, 
0x0170,JunkersMonitor, 
0x0171,JunkersMonitor, 
0x0172,JunkersMonitor, 
0x0179,JunkersSet, 
0x017A,JunkersSet, 
0x017B,JunkersSet, 
0x017C,JunkersSet, 
0x01D3,JunkersDhw,fetched
0x023A,RC300OutdoorTemp,fetched
0x023E,PVSettings,fetched
0x0240,RC300Settings,fetched
0x0241,RC300Settings,fetched
0x0267,RC300Floordry, 
0x0269,RC300Holiday,fetched
0x0291,HPMode,fetched
0x0292,HPMode,fetched
0x0293,HPMode,fetched
0x0294,HPMode,fetched
0x029B,RC300Curves, 
0x029C,RC300Curves, 
0x029D,RC300Curves, 
0x029E,RC300Curves, 
0x029F,RC300Curves, 
0x02A0,RC300Curves, 
0x02A1,RC300Curves, 
0x02A2,RC300Curves, 
0x02A5,EasyMonitor, 
0x02A6,RC300Monitor, 
0x02A7,RC300Monitor, 
0x02A8,RC300Monitor, 
0x02A9,RC300Monitor, 
0x02AA,RC300Monitor, 
0x02AB,RC300Monitor, 
0x02AC,RC300Monitor, 
0x02AF,RC300Summer, 
0x02B0,RC300Summer, 
0x02B1,RC300Summer, 
0x02B2,RC300Summer, 
0x02B3,RC300Summer, 
0x02B4,RC300Summer, 
0x02B5,RC300Summer, 
0x02B6,RC300Summer, 
0x02B9,RC300Set, 
0x02BA,RC300Set, 
0x02BB,RC300Set, 
0x02BC,RC300Set, 
0x02BD,RC300Set, 
0x02BE,RC300Set, 
0x02BF,RC300Set, 
0x02C0,RC300Set, 
0x02CC,RC300Set2, 
0x02CD,MMPLUSConfigMessage,fetched
0x02CE,RC300Set2, 
0x02D0,RC300Set2, 
0x02D2,RC300Set2, 
0x02D6,HPPump2,fetched
0x02D7,MMPLUSStatusMessage, 
0x02F5,RC300WWmode,fetched
0x02F6,RC300WW2mode,fetched
0x0313,MMPLUSConfigMessage_WWC,fetched
0x031B,RC300WWtemp,fetched
0x031D,RC300WWmode2, 
0x031E,RC300WWmode2, 
0x0331,MMPLUSStatusMessage_WWC, 
0x0358,SM100SystemConfig,fetched
0x035A,SM100CircuitConfig,fetched
0x035C,SM100HeatAssist,fetched
0x035D,SM100Circuit2Config,fetched
0x035F,SM100Config1,fetched
0x0361,SM100Differential,fetched
0x0362,SM100Monitor, 
0x0363,SM100Monitor2, 
0x0364,SM100Status, 
0x0366,SM100Config, 
0x036A,SM100Status2, 
0x0380,SM100CollectorConfig,fetched
0x038E,SM100Energy,fetched
0x0391,SM100Time,fetched
0x043F,CRHolidays,fetched
0x0467,HPSet, 
0x0468,HPSet, 
0x0469,HPSet, 
0x046A,HPSet, 
0x0471,RC300Summer2, 
0x0472,RC300Summer2, 
0x0473,RC300Summer2, 
0x0474,RC300Summer2, 
0x0475,RC300Summer2, 
0x0476,RC300Summer2, 
0x0477,RC300Summer2, 
0x0478,RC300Summer2, 
0x047B,HP2, 
0x0484,HPSilentMode,fetched
0x0485,HpCooling,fetched
0x0486,HpInConfig,fetched
0x0488,HPValve,fetched
0x048A,HpPool,fetched
0x048B,HPPumps,fetched
0x048D,HpPower,fetched
0x048F,HpTemperatures, 
0x0491,HPAdditionalHeater,fetched
0x0492,HpHeaterConfig,fetched
0x0494,UBAEnergySupplied, 
0x0495,UBAInformation, 
0x0499,HPDhwSettings,fetched
0x049C,HPSettings2,fetched
0x049D,HPSettings3,fetched
0x04A2,HpInput,fetched
0x04A5,HPFan,fetched
0x04A7,HPPowerLimit,fetched
0x04AA,HPPower2,fetched
0x04AE,HPEnergy,fetched
0x04AF,HPMeters,fetched
0x056B,VentilationMode,fetched
0x0583,VentilationMonitor, 
0x0585,Blowerspeed, 
0x0587,Bypass, 
0x05BA,HpPoolStatus,fetched
0x05D9,Airquality, 
0x0772,HIUSettings, 
0x0779,HIUMonitor, 
0x07A5,SM100wwCirc,fetched
0x07A6,SM100wwParam,fetched
0x07AA,SM100wwStatus, 
0x07AB,SM100wwCommand, 
0x07AC,SM100wwParam1, 
0x07AD,SM100ValveStatus, 
0x07AE,SM100wwKeepWarm,fetched
0x07D6,SM100wwTemperature, 
0x07E0,SM100wwStatus2,fetched
0x0935,EM100SetMessage,fetched
0x0936,EM100OutMessage, 
0x0937,EM100TempMessage, 
0x0938,EM100InputMessage, 
0x0939,EM100MonitorMessage, 
0x093A,EM100ConfigMessage, 
0x0998,HPSettings,fetched
0x0999,HPFunctionTest,fetched
0x099A,HPStarts, 
0x099B,HPFlowTemp, 
0x099C,HPComp, 
0x09A0,HPTemperature, 
